Unnamed: 0,authors,title,journal,pmid,year,accession,Organisms,RecordYears,Hosts,Countries,IsolateYears,CDS,SeqLens,AlignLens,PcntIDs
124,"Aradaib I., Elageb R., Erickson B., Karsany M., Khristova M., Mustafa M., Nichol S., Saeed N.","Direct Submission, Nosocomial outbreak of Crimean-Congo hemorrhagic fever, Sudan","Special Pathogens Branch, 1600 Clifton Road, 837-839 (2010), Atlanta, Centers for Disease Control and Prevention, Emerging Infect. Dis. 16 (5), GA 30333, USA",20409377.0,"2009, 2010","GQ862371.1, GQ862372.1",Orthonairovirus haemorrhagiae (2),02-M (2),Homo sapiens (2),"Sudan: Al-Fulah City, Western Kordufan Province (2)",Oct- (2),nucleoprotein (2),1673 (2),482 (2),95%-100% (2)
125,"Ashraf S., Balinandi S., Bugembe D., Bukenya H., Bwogi J., Byaruhanga T., Da silva filipe A., Davis C., Downing R., Jerome H., Kaleebu P., Kayiwa J., Kigozi B., Logan N., Lutwama J., Mcconnell W., Namuwulya P., Salazar M., Salazar-gonzalez J., Shepherd J., Sreenu V., Ssekagiri A., Ssemwanga D., Thomson E., Wilkie G., Willett B.","Direct Submission, Emerging viruses are an underestimated cause of undiagnosed febrile illness in Uganda","MRC Centre for Virus Research, 464 Bearsden Road, Glasgow G61 1QH, United Kingdom, University of Glasgow, Unpublished",,2022,"OQ077990.1, OQ077991.1",Orthonairovirus haemorrhagiae (2),01-F (2),Homo sapiens (2),Uganda (2),2012 (2),"nucleoprotein (1), nan (1)","381 (1), 2492 (1)","127 (1), 0 (1)",95%-100% (1)
126,"Al-abaidani I., Al-abri S., Al-jardani A., Al-kindi H., Al-maani A., Al-mahrooqi S., Al-rawahi B., Almahrouqi S., Atkinson B., Bawakir S., Beeching N., Hewson R.","Direct Submission, Human cases of CCHFV in Oman 2012-2014","Research, Manor Farm Road, Public Health England, Salisbury, UK, Unpublished, Wiltshire SP4 0JG",,2018,"MH037279.1, MH037280.1, MH037281.1, MH037282.1, MH037283.1, MH037284.1, MH037285.1, MH037286.1, MH037287.1, MH037288.1, MH037289.1, MH037290.1",Orthonairovirus haemorrhagiae (12),01-M (12),Homo sapiens (12),Oman (12),"2014 (6), 2013 (5), 2012 (1)",nucleoprotein (12),"1449 (9), 1673 (3)",482 (12),95%-100% (12)
127,"Altaf L., Atkinson B., Chamberlain J., Hasan Z., Hewson R., Jamil B., Mahmood F., Moatter T., Mohammed M., Samreen A.","Crimean-Congo hemorrhagic fever nosocomial infection in a immunosuppressed patient, Direct Submission, Pakistan: case report and virological investigation","Research, 501-504 (2013), Health Protection Agency, J. Med. Virol. 85 (3), Manor Farm Road, Salisbury, UK, Wiltshire SP4 0JG",23172105.0,"2012, 2013",JX227939.1,Orthonairovirus haemorrhagiae (1),15-A (1),Homo sapiens; fatal (1),Pakistan (1),2011 (1),nucleocapsid protein (1),987 (1),279 (1),95%-100% (1)
128,"Balinandi S., Klena J., Kyondo J., Lubwama B., Lutwama J., Mulei S., Nichol S., Nyakarahuka L., Ojwang J., Patel K., Shoemaker T., Strher U., Stroeher U., Tumusiime A.","2015, Direct Submission, Investigation of an isolated case of human Crimean-Congo hemorrhagic fever in Central Uganda","VSPB, 1600 Clifton Rd, 88-93 (2018), Atlanta, CDC, GA 30333, Int. J. Infect. Dis. 68, USA",29382607.0,2018,MH178082.1,Orthonairovirus haemorrhagiae (1),17-A (1),Homo sapiens (1),Uganda (1),08-N (1),nucleoprotein (1),1610 (1),482 (1),95%-100% (1)
129,"Almberg M., Balinandi S., Klena J., Kyondo J., Lutwama J., Mugisha L., Mulei S., Nyakarahuka L., Shoemaker T., Tumusiime A., Whitmer S.","Crimean-Congo Hemorrhagic Fever in Uganda 2013-2019, Direct Submission","VSPB, 1600 Clifton Rd. NE, Atlanta, CDC, GA 30333, USA, Unpublished",,2021,"MW464943.1, MW464944.1, MW464945.1, MW464946.1, MW464947.1, MW464948.1, MW464949.1, MW464950.1, MW464951.1, MW464952.1, MW464953.1, MW464954.1, MW464955.1, MW464956.1, MW464957.1, MW464958.1, MW464959.1, MW464960.1, MW464961.1, MW464962.1, MW464963.1, MW464964.1, MW464965.1, MW464966.1, MW464967.1, MW464968.1, MW464969.1, MW464970.1, MW464971.1, MW464972.1, MW464973.1, MW464974.1, MW464975.1, MW464976.1, MW464977.1, MW464978.1, MW464979.1, MW464980.1, MW464981.1, MW464982.1, MW464983.1, MW464984.1, MW464985.1, MW464986.1",Orthonairovirus haemorrhagiae (44),19-S (44),Homo sapiens (44),Uganda (44),"18-A (7), 11-A (3), 12-J (3), 22-S (3), 07-S (3), 23-A (3), 24-J (3), 30-O (3), 02-J (3), 24-S (3), 09-N (3), 22-J (2), 14-J (2), 08-A (2), 31-J (1)","nucleocapsid protein (18), RNA-dependent RNA polymerase (14), envelope glycoprotein precursor (12)","500-1000 (1), 1000-3000 (17), 3000-5000 (1), 5000-10000 (11), >10000 (14)","100-500 (18), 1000-3000 (13), 3000-5000 (13)","50%-75% (9), 75%-90% (6), 90%-95% (14), 95%-100% (15)"
130,"Azad-manjiri S., Azizizadeh S., Baniasadi V., Fazlalipour M., Ghasemian R., Hosseini M., Jalali T., Jamshidi Y., Khakifirouz S., Mirahmadi R., Mohammadi T., Salehi-vaziri M.","An isolate of CCHF virus from an Iranian patient in North of Iran, Direct Submission","Virology, Iran, No. 69 Pasteur Ave., Tehran 0098, Tehran University of Medical Sciences, Unpublished",,2016,KY274404.1,Orthonairovirus haemorrhagiae (1),26-M (1),Homo sapiens (1),Iran (1),13-J (1),nucleoprotein (1),535 (1),178 (1),95%-100% (1)
131,"Azadmanesh K., Baniasadi V., Fazlalipour M., Fereydouni Z., Jalali T., Mohammadi T., Pouriayevali M., Qaedi H., Salehi-vaziri M.","Direct Submission, Whole Genome Sequencing of Crimean-Congo Hemorrhagic Fever Orthonairovirus in Iran","Arboviruses and Viral Hemorrhagic Fevers Department (National Ref Lab), Iran, No 69, Pasteur Ave, Pasteur Institute of Iran, Tehran, Tehran 1316943551, Unpublished",,2018,"MH461097.1, MH461098.1, MH461099.1",Orthonairovirus haemorrhagiae (3),08-J (3),Homo sapiens (3),Iran (3),03-A (3),"RNA-dependent RNA polymerase (1), envelope glycoprotein precursor (1), nucleocapsid protein (1)","12143 (1), 5341 (1), 1651 (1)","3945 (1), 1685 (1), 482 (1)","75%-90% (1), 95%-100% (2)"
132,"Addo S., Agbodzi B., Ampadu R., Asoala V., Baako B., Behene E., Bentil R., Dadzie S., Diclaro J., Fox A., Harwood J., Kumordjie S., Letizia A., Mingle D., Mosore M., Nimo-paintsil S., Nyarko E., Oduro D., Sanders T., Tagoe J., Yeboah C.","Direct Submission, First Whole Genome Isolation of Crimean-Congo Haemorrhagic Fever Virus (CCHFV) in Tick Species within Ghana","NAMRU-3, Accra, Ghana, Legon +233, P O Box LG 581, University of Ghana Noguchi Memorial Institute for Medical Research, University of Ghana-Legon, Unpublished",,2023,"OQ441063.1, OQ441064.1, OQ441065.1",Orthonairovirus haemorrhagiae (3),18-J (3),Hyalomma rufipes (3),Ghana: Navrongo (3),25-F (3),"RNA-dependent RNA polymerase (1), glycoprotein precursor (1), nucleocapsid protein (1)","12141 (1), 3833 (1), 1639 (1)","3945 (1), 1277 (1), 482 (1)","90%-95% (1), 95%-100% (2)"
133,"Albarino C., Bergeron E., Chakrabarti A., Nichol S., Spiropoulou C., Zivcec M.","Direct Submission, Recovery of Recombinant Crimean Congo Hemorrhagic Fever Virus Reveals a Function for Non-structural Glycoproteins Cleavage by Furin","Viral Special Pathogens Branch, 1600 Clifton Rd NE, Atlanta, Centers for Disease Control and Prevention, E1004879 (2015), GA 30333, PLoS Pathog. 11 (5), USA",25933376.0,"2014, 2015","KJ648910.1, KJ648911.1, KJ648912.1, KJ648913.1, KJ648914.1, KJ648915.1, KJ648916.1","Reverse genetics vector pT7-M-ASKA (1), Reverse genetics vector pT7-M (1), Reverse genetics vector pT7-S (1), Reverse genetics vector pT7-L (1), Reverse genetics vector pC-N (1), Reverse genetics vector pC-L (1), Reverse genetics vector pC-Lopti (1)",11-M (7),nan (7),nan (7),nan (7),"AmpR (2), furin resistant glycoprotein precursor (1), glycoprotein precursor (1), nucleoprotein (1), long RNA-dependent RNA polymerase (1), V5 tagged long RNA-dependent RNA polymerase (1)","3000-5000 (1), 5000-10000 (3), >10000 (3)","1685 (2), 114 (2), 482 (1), 3945 (1), 3944 (1)","75%-90% (2), 95%-100% (3)"
134,"Belqeiszadeh H., Biglari P., Chinikar S., Fooks A., Ghaffari M., Javaherizadeh S., Mostafavi E., Nowotny N., Shahhosseini N., Telmadarraiy Z.","Direct Submission, Phylogeny of tick-derived Crimean-Congo hemorrhagic fever virus strains in Iran","Bernhard Nocht Institute for Tropical Medicine, Germany, Ticks Tick Borne Dis (2016) In press",27491289.0,"2015, 2016","KT931948.1, KT931949.1, KT931950.1, KT931951.1, KT931952.1, KT931953.1, KT931954.1, KT931955.1, KT931956.1, KT931957.1, KT931958.1",Orthonairovirus haemorrhagiae (11),24-S (11),"Rhipicephalus sanguineus (3), Hyalomma anatolicum (3), Hyalomma sp. (2), Hyalomma asiaticum (2), Haemaphysalis sulcata (1)",Iran (11),"2014 (7), 2015 (4)","N-protein (9), nan (2)","100-500 (4), 500-1000 (7)","<30 (2), 100-500 (9)","90%-95% (6), 95%-100% (3)"
135,"Alzain M., Atkinson B., Bausch D., Beeching N., Bower H., Brooks T., Carter D., Dowall S., El halawi A., El karsany M., Eldegail M., Fletcher T., Furneaux J., Gannon B., Graham V., Hewson R., Mahmoud I., Mellors J., Mohamed R., Mohamednour S., Osborne J., Osman A., Pullan S., Semper A., Slack G., Taha R., Whitworth J.","Direct Submission, Severe Undifferentiated Febrile Illness Outbreaks in the Federal Republic of Sudan: A Retrospective Epidemiological & Diagnostic Cohort Study","Genomics of Rare and Emerging Human Pathogens, Manor Farm Road, Porton Down, Public Health England, United Kingdom, Unpublished, Wiltshire SP4 0JG",,2019,"MK442893.1, MK442894.1, MK442895.1",Orthonairovirus haemorrhagiae (3),10-A (3),Homo sapiens (3),Sudan: Darfur (3),2015 (3),"RNA-dependent RNA polymerase (1), glycoprotein precursor (1), nucleocapsid protein (1)","12153 (1), 5359 (1), 1644 (1)","3945 (1), 1685 (1), 482 (1)","75%-90% (1), 95%-100% (2)"
136,"Belford A., Buck C., Pastrana D., Starrett G., Tisza M., Varsani A., Welch N.","Direct Submission, Widespread Horizontal Gene Transfer Among Animal Viruses","Lab of Cellular Oncology, Bethesda, Building 37 Room 4118, MD 20892, National Cancer Institute, USA, bioRxiv (2024) In press",,2024,BK066753.1,Bunidovirus lumbricus28925 (1),05-A (1),Lumbricus rubellus (1),nan (1),nan (1),Usixa (1),29696 (1),34 (1),25%-50% (1)
137,"Atkinson B., Baba S., Bell A., Bosworth A., Bukbuk D., Dowall S., Hewson R., Lewandowski K., Varghese A.","Direct Submission, Northeastern Nigeria, Serological and virological evidence of Crimean-Congo Haemorrhagic Fever virus circulation in the human population of Borno state","Research and Technical Services, Manor Farm Road, Porton, Public Health England, UK, Unpublished, Wiltshire SP4 0JG",,2016,"KX238956.1, KX238957.1, KX238958.1",Orthonairovirus haemorrhagiae (3),12-N (3),Homo sapiens (3),Nigeria (3),Mar- (3),"nucleocapsid protein (1), envelope glycoprotein (1), transcriptase (1)","1602 (1), 5359 (1), 12097 (1)","470 (1), 1685 (1), 3874 (1)","75%-90% (1), 95%-100% (2)"
138,"Barakbayev K., Burashev Y., Chervyakova O., Kozhabergenov N., Mukhami N., Nakhanov A., Orynbayev M., Shynybekova G., Sultankulova K., Zakarya K.","Direct Submission, The Prevalence and Genetic Variants of the CCHF Virus Circulating among Ticks in the Southern Regions of Kazakhstan","Molecular Biology and Genetic Engineering, 841 (2022), Gvardeyskiy, Kazakhstan, Kordai region, Pathogens 11 (8), Research Institute for Biological Safety Problems, Zhambulskaya oblast 080409",36014962.0,2022,"ON783803.1, ON783804.1, ON783805.1",Orthonairovirus haemorrhagiae (3),19-O (3),nan (3),Kazakhstan: Zhalagash (3),14-M (3),nan (3),"488 (1), 445 (1), 491 (1)",0 (3),
139,"Bursali A., Dundar E., Ekici M., Keskin A., Tekin S.","Direct Submission, Species diversity of ixodid ticks feeding on humans in Amasya, Turkey: seasonal abundance and presence of Crimean-Congo hemorrhagic fever virus","Biology, 85-93 (2011), Balikesir 10145, Balikesir University, Fen Edebiyat Fakultesi, J. Med. Entomol. 48 (1), Turkey",21337953.0,"2010, 2011","GU550068.1, GU550069.1, GU550070.1, GU550071.1",Orthonairovirus haemorrhagiae (4),25-J (4),tick (4),Turkey: Amasya (4),"2008 (3), Jan- (1)",nucleoprotein (4),515 (4),171 (4),95%-100% (4)
140,"Bursali A., Dundar E., Ekici M., Mutluay N., Ozkan M., Tekin S.","Direct Submission, Prevalence of Crimean Congo Hemorrhagic Fever Virus (CCHFV) in Ixodid Ticks in a Hyper Endemic Region in Turkey","Biology Department, Balikesir 10145, Balikesir Universitesi FEF Biyoloji, Balikesir Universitey, Turkiye, Unpublished",,2009,"GU324989.1, GU324990.1, GU324991.1, GU324992.1, GU324993.1, GU324994.1",Orthonairovirus haemorrhagiae (6),"14-M (4), 25-J (2)","tick (4), Homo sapiens (2)",Turkey (6),"Jul- (4), 1999 (1), 2008 (1)",nucleoprotein (6),430 (6),143 (6),95%-100% (6)
141,"Ashkettle B., Burt F., Paweska J., Swanepoel R.","Direct Submission, Genetic relationship among southern African Crimean-Congo hemorrhagic fever virus isolates and evidence for occurrence of reassortment","Medical Virology, Bloemfontein 9300, NHLS/UFS, PO Box 339, South Africa, Unpublished",,2008,"FJ435364.1, FJ435365.1, FJ435366.1, FJ435367.1, FJ435368.1, FJ435369.1, FJ435370.1, FJ435371.1, FJ435372.1, FJ435373.1, FJ435374.1, FJ435375.1, FJ435376.1, FJ435377.1, FJ435378.1, FJ435379.1, FJ435380.1, FJ435381.1, FJ435382.1, FJ435383.1, FJ435384.1, FJ435385.1, FJ435386.1, FJ435387.1, FJ435388.1, FJ435389.1, FJ435390.1, FJ435391.1, FJ435392.1, FJ435393.1, FJ435394.1, FJ435395.1, FJ435396.1, FJ435397.1, FJ435398.1, FJ435399.1, FJ435400.1, FJ435401.1, FJ435402.1, FJ435403.1, FJ435404.1, FJ435405.1, FJ435406.1, FJ435407.1, FJ435408.1, FJ435409.1, FJ435410.1, FJ435411.1, FJ435412.1, FJ435413.1, FJ435414.1, FJ435415.1, FJ435416.1, FJ435417.1, FJ435418.1, FJ435419.1, FJ435420.1, FJ435421.1, FJ435422.1, FJ435423.1",Orthonairovirus haemorrhagiae (60),24-J (60),Homo sapiens (60),"South Africa (51), Namibia (5), Pakistan (4)","1988 (20), 1989 (12), 1986 (6), 1990 (6), 1985 (5), 1987 (5), 2002 (4), 2001 (2)","glycoprotein (23), L protein (23), nucleocapsid (14)","100-500 (37), 500-1000 (23)","91 (23), 251 (23), 145 (13), 144 (1)","75%-90% (5), 90%-95% (29), 95%-100% (26)"
142,"Burt F., Swanepoel R.","Direct Submission, Molecular epidemiology of African and Asian Crimean-Congo haemorrhagic fever isolates","Special Pathogens Unit, 659-666 (2005), Epidemiol. Infect. 133 (4), Johannesburg, Modderfontein Road, National Institute for Communicable Diseases, South Africa",16050511.0,2005,"AY905625.1, AY905626.1, AY905627.1, AY905628.1, AY905629.1, AY905630.1, AY905631.1, AY905632.1, AY905633.1, AY905634.1, AY905635.1, AY905636.1, AY905637.1, AY905638.1, AY905639.1, AY905640.1, AY905641.1, AY905642.1, AY905643.1, AY905644.1, AY905645.1, AY905646.1, AY905647.1, AY905648.1, AY905649.1, AY905650.1, AY905651.1, AY905652.1, AY905653.1, AY905654.1, AY905655.1, AY905656.1, AY905657.1, AY905658.1, AY905659.1, AY905660.1, AY905661.1, AY905662.1, AY905663.1",Orthonairovirus haemorrhagiae (39),26-J (39),nan (39),"South Africa (23), Pakistan (8), Namibia (5), Iran (3)",nan (39),nucleoprotein (39),450 (39),149 (39),"90%-95% (7), 95%-100% (32)"
143,"Burt F., Swanepoel R.","Direct Submission, Nucleoprotein gene heterogeneity among South African Crimean-Congo hemorrhagic fever virus isolates","Special Pathogens Unit, Johannesburg 2131, National Institute for Virology, Sandringham, South Africa, Unpublished",,1997,"U84635.1, U84636.1, U84637.1, U84638.1, U84639.1",Orthonairovirus haemorrhagiae (5),24-J (5),nan (5),nan (5),nan (5),nucleoprotein (5),450 (5),149 (5),95%-100% (5)
144,"Ahmeti S., Cadar D., Emmerich P., Jakupi X., Krueger A., Kruger A., Muji S., Robaj A., Sherifi K.","2012, Crimean-Congo Hemorrhagic Fever Virus Clades V and VI (Europe 1 and 2) in Ticks in Kosovo, Direct Submission","Division of Arbovirology, Bernhard Nocht Institute for Tropical Medicine WHO Collaborating Centre for Arbovirus and Haemorrhagic Fever Reference and Rese, Bernhard-Nocht 74, E3168 (2014), Germany, Hamburg 20359, PLoS Negl Trop Dis 8 (9)",25255381.0,2014,"KJ545665.1, KJ545666.1, KJ545667.1, KJ545668.1, KJ545669.1, KJ545670.1, KJ545671.1, KJ545672.1, KJ545673.1, KJ545674.1, KJ545675.1, KJ545676.1, KJ545677.1, KJ545678.1, KJ545679.1, KJ545680.1, KJ545681.1, KJ545682.1, KJ545683.1, KJ545684.1, KJ545685.1, KJ545686.1, KJ545687.1, KJ545688.1, KJ545689.1, KJ545690.1, KJ545691.1, KJ545692.1, KJ545693.1, KJ545694.1, KJ545695.1, KJ545696.1, KJ545697.1, KJ545698.1, KJ545699.1, KJ545700.1, KJ545701.1, KJ545702.1, KJ545703.1, KJ545704.1",Orthonairovirus haemorrhagiae (40),13-O (40),"Hyalomma marginatum (29), Rhipicephalus bursa (10), Ixodes ricinus (1)","Kosovo: Malisheve (21), Kosovo: Prishtine (10), Kosovo: Kline (8), Kosovo: Gjilan (1)","01-M (37), 2013 (3)","nucleocapsid protein (36), nan (4)",100-500 (40),"<30 (4), 30-100 (36)","75%-90% (9), 95%-100% (27)"
145,"Barrett A., Bente D., Cajimat M., Estrada-pena A., Habela M., Ksiazek T., Negredo A., Rodriguez S., Schuster I., Swetnam D.","2014, Direct Submission, Genomic Characterization of Crimean-Congo Hemorrhagic Fever Virus in Hyalomma Tick from Spain","Pathology, 301 University Blvd., Galveston, TX 77555-0610, USA, University of Texas Medical Branch - Galveston, Vector Borne Zoonotic Dis. (2017) In press",28836897.0,2017,"MF547415.1, MF547416.1, MF547417.1",Orthonairovirus haemorrhagiae (3),30-A (3),Hyalomma lusitanicum (3),Spain (3),29-N (3),"RNA-dependent RNA polymerase (1), glycoprotein precursor (1), nucleocapsid protein (1)","11921 (1), 5366 (1), 1673 (1)","3945 (1), 1686 (1), 482 (1)","75%-90% (1), 95%-100% (2)"
146,"Ahmed D., Babiker M., Camp J., Howarth B., Karuvantevida N., Khafaga T., Kolodziejek J., Loney T., Mazrooei H., Nowotny N., Osman B., Shah M., Sher shah M., Weidinger P., Wolf N.","2019, Crimean-Congo Hemorrhagic Fever Virus Endemicity in United Arab Emirates, Direct Submission","Institute of Virology, Austria, Emerging Infect. Dis. 26 (5) (2020) In press, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna 1210",32097111.0,"2019, 2020","MN516481.1, MN516482.1, MN516483.1, MN516484.1, MN516485.1, MN516486.1, MN516487.1, MN516488.1",Orthonairovirus haemorrhagiae (8),22-M (8),"Hyalomma dromedarii (6), Camelus dromedarius (2)",United Arab Emirates (8),28-A (8),"nucleoprotein (5), glycoprotein precursor (3)","492 (5), 672 (3)","164 (5), 224 (3)",90%-95% (8)
147,"Abou tayoun A., Camp J., Kannan D., Karuvantevida N., Kolodziejek J., Loney T., Nowotny N., Osman B., Ramaswamy S., Weidinger P., Wolf N.","Association of Dromedary Camels and Camel Ticks with Reassortant Crimean-Congo Hemorrhagic Fever Virus, Direct Submission, United Arab Emirates","Center for Virology, 2471-2474 (2021), Austria, Emerg Infect Dis 27 (9), Kinderspitalgasse 15, Medical University of Vienna, Vienna 1090",34424177.0,2021,"MW548490.1, MW548491.1, MW548492.1, MW548493.1, MW548494.1, MW548495.1, MW548496.1, MW548497.1, MW548498.1, MW548499.1, MW548500.1, MW548501.1, MW548502.1, MW548503.1, MW548504.1",Orthonairovirus haemorrhagiae (15),22-F (15),Hyalomma dromedarii (15),United Arab Emirates: Al Ain (15),2019 (15),"RNA-dependent RNA polymerase (5), glycoprotein precursor (5), nucleoprotein (5)","1000-3000 (5), 5000-10000 (5), >10000 (5)","482 (5), 1666 (5), 3945 (4), 3753 (1)","50%-75% (5), 95%-100% (10)"
148,"Bordi L., Capobianchi M., Carletti F., Castilletti C., Chiappini R., Christova I., Di caro A., Ippolito G., Lalle E., Mohareb E., Papa A., Papadimitriou E., Rezza G.","A cluster of inter-human transmission of Crimean-Congo hemorrhagic fever in south-western Bulgaria, Direct Submission","Virology, Italy, Laboratory, Rome 00149, Unpublished, Via Portuense 292",,2008,FJ472634.1,Orthonairovirus haemorrhagiae (1),24-J (1),Homo sapiens (1),Bulgaria (1),Mar- (1),nucleoprotein (1),527 (1),175 (1),95%-100% (1)
149,"Chamberlain J., Hewson R.","Crimean-Congo Hemorrhagic Fever Virus mRNA for Nucleocapsid (NP gene), Direct Submission, S Segment","Novel and Dangerous Pathogens, Centre for Emergency Preparedness and Response, HPA Porton Down, Salisbury, UK, Unpublished, Wiltshire SP4 0JG",,2006,EF123122.1,Orthonairovirus haemorrhagiae (1),23-D (1),nan (1),Central African Republic (1),nan (1),nucleocapsid (1),1673 (1),482 (1),90%-95% (1)
150,"Chamberlain J., Hewson R.","Direct Submission, Genetic characterization of M segments","Novel & Dangerous Pathogens, Centre for Emergency Preparedness and Response, Health Protection Agency, Porton Down, Salisbury, UK, Unpublished, Wilts SP4 0JG",,2005,"DQ157174.1, DQ157175.1",Orthonairovirus haemorrhagiae (2),03-S (2),nan (2),South Africa (2),nan (2),membrane glycoprotein (2),5365 (2),1685 (2),75%-90% (2)
151,"Chamberlain J., Hewson R., Meissner J.","Direct Submission, Methods for sequencing L segments of CCHF viruses","Novel & Dangerous Pathogens, Centre for Emergency Preparedness and Response, Health Protection Agency - Porton Down, Porton Down, Salisbury, UK, Unpublished, Wilts SP4 0JG",,"2005, 2006",DQ099335.2,Orthonairovirus haemorrhagiae (1),28-A (1),nan (1),Democratic Republic of the Congo (1),nan (1),L protein (1),12128 (1),3945 (1),95%-100% (1)
